ID;Codigo;Genero;Estrato;Edad;Estado_civil;Jornada;Nivel_formacion;Sede;Codigo_programa;Esfuerzo_Semestre;Financiamiento;T_desempleo;Inflaccion;Semestre;Clase
10;89546;Masculino;2;34;Casado;Distancia;Pregrado;CT LERIDA;AEMD;5;Sin Credito;14.5;9.2;20161;Continuo
10;165788;Masculino;1;36;Soltero;Distancia;Pregrado;CT LERIDA;ASOD;3;Sin Credito;14.5;9.2;20161;Continuo
10;166101;Femenino;2;35;Soltero;Distancia;Pregrado;CT LERIDA;PSID;3;Con Credito;14.5;9.2;20161;Continuo
10;166178;Femenino;2;28;Soltero;Distancia;Pregrado;CR IBAGUE;COPD;5;Sin Credito;14.5;9.2;20161;Continuo
10;192490;Femenino;1;29;Casado;Distancia;Pregrado;CT FRESNO;COPD;6;Sin Credito;14.5;9.2;20161;Continuo
10;201225;Femenino;3;29;Soltero;Distancia;Pregrado;CR IBAGUE;AEMD;3;Sin Credito;14.5;9.2;20161;Continuo
10;219681;Masculino;1;25;Soltero;Distancia;Pregrado;CT LERIDA;AEMD;9;Sin Credito;14.5;9.2;20161;Continuo
10;228630;Femenino;2;32;Soltero;Distancia;Pregrado;CR IBAGUE;COPD;4;Sin Credito;14.5;9.2;20161;Continuo
10;242656;Femenino;2;27;Soltero;Distancia;Pregrado;CR IBAGUE;COPD;6;Sin Credito;14.5;9.2;20161;Continuo
10;244239;Femenino;2;31;Union libre;Distancia;Licenciatura;CR IBAGUE;LPID;3;Sin Credito;14.5;9.2;20161;Continuo
10;249671;Femenino;1;24;Soltero;Distancia;Pregrado;CR IBAGUE;PSID;4;Sin Credito;14.5;9.2;20161;Continuo
10;250629;Masculino;2;30;Divorciado;Distancia;Pregrado;CR IBAGUE;ASOD;8;Sin Credito;14.5;9.2;20161;Continuo
10;253634;Femenino;1;27;Soltero;Distancia;Pregrado;CT LERIDA;PSID;6;Sin Credito;14.5;9.2;20161;Continuo
10;253707;Masculino;1;28;Soltero;Distancia;Pregrado;CT LERIDA;COPD;3;Sin Credito;14.5;9.2;20161;Continuo
10;254084;Masculino;1;28;Soltero;Distancia;Pregrado;CT FRESNO;ASOD;3;Sin Credito;14.5;9.2;20161;Continuo
10;262262;Femenino;1;27;Soltero;Distancia;Pregrado;CR IBAGUE;PSID;8;Sin Credito;14.5;9.2;20161;Continuo
10;264573;Femenino;2;24;Casado;Distancia;Pregrado;CR IBAGUE;PSID;9;Con Credito;14.5;9.2;20161;Continuo
10;266325;Femenino;3;26;Soltero;Distancia;Pregrado;CR IBAGUE;AEMD;6;Sin Credito;14.5;9.2;20161;Continuo
10;266331;Femenino;3;26;Union libre;Distancia;Pregrado;CR IBAGUE;AEMD;9;Sin Credito;14.5;9.2;20161;Continuo
10;268999;Femenino;2;28;Soltero;Distancia;Pregrado;CR IBAGUE;PSID;9;Sin Credito;14.5;9.2;20161;Continuo
10;270651;Masculino;3;34;Soltero;Distancia;Pregrado;CR IBAGUE;ASOD;8;Sin Credito;14.5;9.2;20161;Continuo
10;272399;Femenino;2;25;Soltero;Distancia;Pregrado;CR IBAGUE;ASOD;6;Sin Credito;14.5;9.2;20161;Continuo
10;275015;Femenino;2;25;Soltero;Distancia;Pregrado;CR IBAGUE;PSID;8;Sin Credito;14.5;9.2;20161;Continuo
10;275175;Femenino;2;24;Soltero;Distancia;Licenciatura;CR IBAGUE;LPID;7;Sin Credito;14.5;9.2;20161;Continuo
10;276340;Masculino;2;46;Casado;Distancia;Pregrado;CR IBAGUE;AEMD;3;Sin Credito;14.5;9.2;20161;Continuo
10;278853;Femenino;2;26;Soltero;Distancia;Pregrado;CT FRESNO;COPD;9;Sin Credito;14.5;9.2;20161;Continuo
