ID;Genero;Estrato;Edad;Estado_civil;Jornada;Nivel_formacion;Sede;Codigo_programa;Esfuerzo_Semestre;Financiamiento;T_desempleo;Inflaccion;Clase;Semestre
10;Masculino;2;34;Casado;Distancia;Pregrado;CT LERIDA;AEMD;5;Sin Credito;14,5;9,2;Continuo;201610
10;Masculino;1;36;Soltero;Distancia;Pregrado;CT LERIDA;ASOD;3;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;2;35;Soltero;Distancia;Pregrado;CT LERIDA;PSID;3;Con Credito;14,5;9,2;Continuo;201610
10;Femenino;2;28;Soltero;Distancia;Pregrado;CR IBAGUE;COPD;5;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;1;29;Casado;Distancia;Pregrado;CT FRESNO;COPD;6;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;3;29;Soltero;Distancia;Pregrado;CR IBAGUE;AEMD;3;Sin Credito;14,5;9,2;Continuo;201610
10;Masculino;1;25;Soltero;Distancia;Pregrado;CT LERIDA;AEMD;9;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;2;32;Soltero;Distancia;Pregrado;CR IBAGUE;COPD;4;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;2;27;Soltero;Distancia;Pregrado;CR IBAGUE;COPD;6;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;2;31;Union libre;Distancia;Licenciatura;CR IBAGUE;LPID;3;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;1;24;Soltero;Distancia;Pregrado;CR IBAGUE;PSID;4;Sin Credito;14,5;9,2;Continuo;201610
10;Masculino;2;30;Divorciado;Distancia;Pregrado;CR IBAGUE;ASOD;8;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;1;27;Soltero;Distancia;Pregrado;CT LERIDA;PSID;6;Sin Credito;14,5;9,2;Continuo;201610
10;Masculino;1;28;Soltero;Distancia;Pregrado;CT LERIDA;COPD;3;Sin Credito;14,5;9,2;Continuo;201610
10;Masculino;1;28;Soltero;Distancia;Pregrado;CT FRESNO;ASOD;3;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;1;27;Soltero;Distancia;Pregrado;CR IBAGUE;PSID;8;Sin Credito;14,5;9,2;Continuo;201610
10;Femenino;2;24;Casado;Distancia;Pregrado;CR IBAGUE;PSID;9;Con Credito;14,5;9,2;Continuo;201610
