ID;Genero;Estado_civil;Estrato_socioecomico;Jornada;Nivel_formacion;Edad;Esfuerzo_periodo;Sede;Codigo_programa;Financiamiento;T_desempleo;Inflaccion;Clase;Semestre
10;Femenino;Soltero;2;Distancia;Licenciatura;24;8;CR IBAGUE;LPID;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Casado;2;Distancia;Pregrado;46;4;CR IBAGUE;AEMD;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Casado;3;Distancia;Pregrado;26;5;CR IBAGUE;COPD;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Union libre;2;Distancia;Pregrado;53;7;CT FRESNO;AEMD;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Soltero;2;Distancia;Pregrado;27;4;CR IBAGUE;COPD;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;3;Distancia;Pregrado;48;4;CR IBAGUE;AEMD;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;1;Tarde;Pregrado;25;4;CT LERIDA;COPD;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Union libre;2;Distancia;Pregrado;25;6;CR IBAGUE;ASOD;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;2;Distancia;Pregrado;25;8;CR IBAGUE;COPD;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;2;Distancia;Pregrado;31;6;CR IBAGUE;AEMD;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;1;Distancia;Pregrado;24;5;CR IBAGUE;AEMD;Con Credito;17;3,37;Continuo;20191
10;Femenino;Union libre;2;Distancia;Pregrado;25;8;CR IBAGUE;COPD;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Soltero;2;Distancia;Pregrado;31;7;CR IBAGUE;PSID;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;3;Distancia;Pregrado;29;4;CR IBAGUE;COPD;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Union libre;3;Distancia;Pregrado;26;8;CR IBAGUE;ASOD;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;2;Distancia;Pregrado;26;7;CR IBAGUE;ADFU;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Soltero;2;Distancia;Pregrado;29;7;CR IBAGUE;AEMD;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;1;Distancia;Pregrado;27;6;CR IBAGUE;ADFU;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;1;Distancia;Pregrado;25;7;CR IBAGUE;ADFU;Con Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;2;Distancia;Pregrado;22;5;CR IBAGUE;COPD;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Casado;1;Distancia;Pregrado;23;8;CR IBAGUE;PSID;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Soltero;3;Distancia;Pregrado;22;8;CR IBAGUE;COPD;Sin Credito;17;3,37;Continuo;20191
10;Masculino;Soltero;2;Distancia;Pregrado;22;5;CR IBAGUE;AEMD;Sin Credito;17;3,37;Continuo;20191
10;Femenino;Soltero;2;Distancia;Licenciatura;40;7;CR IBAGUE;LPID;Con Credito;17;3,37;Continuo;20191
