"id	Genero	Est_socioeconomico	Estado_civil	Edad	Jornada	Nivel_formacion	Esfuerzo_periodo	Sede	Codigo_programa	Financiamiento	T_desempleo	Inflaccion	Clase	Semestre"
"10	Femenino	2	Soltero	24	Distancia	Licenciatura	8	CR IBAGUE	LPID	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Casado	46	Distancia	Pregrado	4	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	3	Casado	26	Distancia	Pregrado	5	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Union libre	53	Distancia	Pregrado	7	CT FRESNO	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	27	Distancia	Pregrado	4	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	3	Soltero	48	Distancia	Pregrado	4	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	1	Soltero	25	Tarde	Pregrado	4	CT LERIDA	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Union libre	25	Distancia	Pregrado	6	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	25	Distancia	Pregrado	8	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	31	Distancia	Pregrado	6	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	1	Soltero	24	Distancia	Pregrado	5	CR IBAGUE	AEMD	Con Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Union libre	25	Distancia	Pregrado	8	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	31	Distancia	Pregrado	7	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	3	Soltero	29	Distancia	Pregrado	4	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	3	Union libre	26	Distancia	Pregrado	8	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	26	Distancia	Pregrado	7	CR IBAGUE	ADFU	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	29	Distancia	Pregrado	7	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	1	Soltero	27	Distancia	Pregrado	6	CR IBAGUE	ADFU	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	1	Soltero	25	Distancia	Pregrado	7	CR IBAGUE	ADFU	Con Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	22	Distancia	Pregrado	5	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Casado	23	Distancia	Pregrado	8	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	3	Soltero	22	Distancia	Pregrado	8	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	22	Distancia	Pregrado	5	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	40	Distancia	Licenciatura	7	CR IBAGUE	LPID	Con Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Union libre	26	Distancia	Pregrado	7	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	25	Distancia	Pregrado	7	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Union libre	22	Distancia	Pregrado	7	CT LERIDA	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	4	Soltero	29	Distancia	Pregrado	8	CT LERIDA	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	31	Distancia	Pregrado	6	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Union libre	24	Distancia	Pregrado	7	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Union libre	22	Distancia	Licenciatura	8	CR IBAGUE	LPID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Soltero	39	Distancia	Pregrado	6	CR IBAGUE	ASOD	Con Credito	17	3.37	Continuo	20191"
"10	Masculino	4	Soltero	22	Distancia	Pregrado	6	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	34	Distancia	Pregrado	6	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	32	Distancia	Pregrado	7	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	3	Soltero	38	Distancia	Pregrado	8	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	35	Distancia	Pregrado	8	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	23	Distancia	Pregrado	8	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	31	Distancia	Pregrado	7	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	45	Distancia	Pregrado	8	CR IBAGUE	ADFU	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	32	Distancia	Pregrado	4	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	23	Distancia	Pregrado	8	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Soltero	29	Distancia	Pregrado	8	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	30	Distancia	Pregrado	8	CR IBAGUE	PSID	Con Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Union libre	33	Distancia	Pregrado	8	CR IBAGUE	ADFU	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Union libre	24	Distancia	Licenciatura	8	CR IBAGUE	LPID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Union libre	25	Distancia	Pregrado	6	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	36	Distancia	Pregrado	5	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	3	Union libre	36	Distancia	Pregrado	8	CR IBAGUE	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	25	Distancia	Pregrado	8	CT LERIDA	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	1	Soltero	26	Distancia	Pregrado	8	CR IBAGUE	COPD	Con Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Union libre	36	Distancia	Pregrado	6	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	3	Soltero	43	Distancia	Pregrado	8	CR IBAGUE	ASOD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	3	Union libre	31	Distancia	Pregrado	8	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	37	Distancia	Pregrado	8	CR IBAGUE	ADFU	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	25	Distancia	Pregrado	5	CR IBAGUE	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Soltero	46	Distancia	Pregrado	6	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Soltero	46	Distancia	Pregrado	8	CT FRESNO	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	23	Distancia	Pregrado	8	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Soltero	31	Distancia	Pregrado	5	CR IBAGUE	ADFU	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Soltero	31	Distancia	Pregrado	8	CR IBAGUE	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	1	Soltero	26	Distancia	Pregrado	8	CT LERIDA	PSID	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	38	Distancia	Pregrado	6	CT LERIDA	ASOD	Con Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	34	Distancia	Pregrado	6	CT LERIDA	AEMD	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	36	Distancia	Pregrado	6	CT LERIDA	AEMD	Con Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	24	Distancia	Licenciatura	6	CT LERIDA	LPID	Sin Credito	17	3.37	Continuo	20191"
"10	Masculino	2	Soltero	47	Distancia	Pregrado	6	CT LERIDA	COPD	Sin Credito	17	3.37	Continuo	20191"
"10	Femenino	2	Soltero	45	Distancia	Licenciatura	6	CT LERIDA	LPID	Sin Credito	17	3.37	Continuo	20191"
