Ano;Periodo;Total
2020;Año;47.329.981,09
2021;Año;47.326.957,59
2022;Año;47.353.590,24
2023;Año;47.381.954,51
2024;Año;47.413.275,14
2025;Año;47.449.884,29
2026;Año;47.492.624,47
2027;Año;47.543.131,61
2028;Año;47.601.835,19
2029;Año;47.670.571,14
2030;Año;47.749.006,85
2031;Año;47.837.800,99
2032;Año;47.937.659,53
2033;Año;48.046.647,01
2034;Año;48.163.458,88
2035;Año;48.284.478,51
2036;Año;48.406.971,15
2037;Año;48.530.640,05
2038;Año;48.655.242,94
2039;Año;48.780.307,50
2040;Año;48.905.119,68
2041;Año;49.028.095,65
2042;Año;49.148.869,65
2043;Año;49.266.205,28
2044;Año;49.378.820,78
2045;Año;49.485.810,51
2046;Año;49.586.245,58
2047;Año;49.679.558,24
2048;Año;49.765.016,94
2049;Año;49.842.029,69
2050;Año;49.910.653,38
2051;Año;49.971.012,64
2052;Año;50.023.223,48
2053;Año;50.067.569,29
2054;Año;50.104.727,06
2055;Año;50.135.516,33
2056;Año;50.160.764,47
2057;Año;50.181.516,58
2058;Año;50.198.810,01
2059;Año;50.213.948,50
2060;Año;50.228.241,40
2061;Año;50.242.967,27
2062;Año;50.259.480,10
2063;Año;50.278.965,48
2064;Año;50.302.555,06
2065;Año;50.331.305,50
2066;Año;50.366.479,87
2067;Año;50.409.088,63
2068;Año;50.459.965,81
2069;Año;50.519.995,16
2070;Año;50.589.810,59
;;
;;
"Métrica:""Total""";;
"Fuente:""INE""";;
"Clasificación:""""";;
"Unidad:""Habitantes""";;
"Escala:""Unidades""";;
"EscalaFactorPotencia10:""0""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/proyeccion-poblacion-residente-espana-2070/07b86777-0c50-47d6-885b-da1ff2b2aa61""";;
"Titulo:""Proyección de la población residente en España hasta 2070""";;
"Subtitulo:""""";;
